state,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,JJ,Moderna,Pfizer,Administered_Dose1_Recip,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_65Plus,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_18Plus,Series_Complete_65Plus,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Additional_Doses,Additional_Doses_18Plus,Additional_Doses_50Plus,Additional_Doses_65Plus,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,date,tot_case,tot_death,new_case,new_death
UT,4016039,3977136,3618852,837441,160756,1448361,2406628,2048267,2009852,1819554,360676,1772790,1772321,1609100,323862,154741,615714,1002326,154704,615678,1001930,154561,615315,839215,16107,138464,169290,290778,290168,215244,152169,100577,186589,3611,30/11/2021,595801,3528,1195,20
IA,4200551,4157750,3924341,1329526,161343,1690258,2348536,1975709,1935254,1812960,534006,1790001,1788048,1679153,502176,152694,686774,950280,152691,686765,948339,152607,686571,839724,14031,263916,224119,544522,544077,428219,295877,253908,284347,6263,30/11/2021,528221,7445,2763,91
MS,3179628,3171303,2992675,957389,80190,1303161,1794272,1598535,1590299,1491508,427152,1395862,1395759,1314949,394163,77766,551221,766233,77752,551209,766156,77675,550906,685746,17018,201291,175547,239894,239575,205406,144727,112289,124859,2504,30/11/2021,514171,10285,549,9
MA,11610003,11422128,10693508,2843359,366052,4508290,6735237,5912695,5745381,5350565,1314532,4906398,4886223,4549387,1073597,359242,1802207,2744795,359220,1802196,2724653,358002,1796896,2394352,71543,485032,516965,1124014,1123167,813129,524350,510062,602938,11011,30/11/2021,919097,19404,3602,31
CA,59597608,58877549,54671636,13488742,2079749,22581070,34921582,31147534,30508285,28185451,6312834,24958124,24879048,22995864,4978217,1986222,8982368,13985167,1985778,8981662,13907252,1978535,8956460,12056799,196451,2508359,2272066,5124890,5120074,3630030,2281734,2221249,2819393,83939,30/11/2021,5062641,73712,4667,56
HI,2084317,2059564,1933763,582934,55136,668664,1266453,1162342,1139933,1063604,293255,863884,860567,809825,237857,55051,275981,514708,55015,275930,511489,54885,275370,461443,10531,97744,128165,123074,122914,94863,66557,33465,88622,962,30/11/2021,84760,1007,75,0
AK,957508,944993,883128,197626,39334,373900,543526,459412,448240,415531,84056,396688,395349,367285,76499,35931,148538,212132,35928,148534,210800,35790,148143,183271,3388,42186,30889,104915,104618,72095,41895,46303,57511,1090,30/11/2021,145581,850,183,2
KS,3698563,3660965,3424029,1076804,120545,1440523,2134455,1929195,1893037,1763699,504357,1592112,1590595,1482316,415111,114386,596802,880381,114371,596794,878887,114268,596452,771120,17809,197896,199171,355717,355283,274272,189051,153485,197724,4424,30/11/2021,465290,6686,0,0
KY,5416861,5371180,5084601,1587517,210521,2254313,2950111,2691894,2648552,2492988,699217,2328897,2327044,2195529,627703,197292,924975,1205156,197261,924962,1203350,197155,924733,1072231,37563,286931,302467,572632,572098,451667,301396,252920,309063,10588,30/11/2021,785926,10943,2517,30
SC,6194615,6154265,5838863,2023015,204002,2414589,3574100,3102884,3065867,2893458,908492,2646396,2641639,2496294,789391,191339,978508,1476221,191295,978417,1471599,190745,976496,1328727,29924,336727,422545,553123,552652,463510,338666,212465,330802,9508,30/11/2021,918321,14210,485,1
